CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_KEPH;RS_S4H_PUB_002;S4H_TB_KEPH;S4H_VW_KEPH_R;
VC_INTEGRATION_KLAH;RS_S4H_PUB_002;S4H_TB_KLAH;S4H_VW_KLAH_R;
ZS4_VCI_KLAT;RS_S4H_PUB_002;S4H_TB_KLAT;S4H_VW_KLAT_R;
VC_INTEGRATION_KNA1;RS_S4H_PUB_002;S4H_TB_KNA1;S4H_VW_KNA1_R;
ZS4_VCI_KNB1;RS_S4H_PUB_002;S4H_TB_KNB1;S4H_VW_KNB1_R;
ZS4_VCI_KNB4;RS_S4H_PUB_002;S4H_TB_KNB4;S4H_VW_KNB4_R;
ZS4_VCI_KNKK;RS_S4H_PUB_002;S4H_TB_KNKK;S4H_VW_KNKK_R;
ZS4_VCI_KNVK;RS_S4H_PUB_002;S4H_TB_KNVK;S4H_VW_KNVK_R;
VC_INTEGRATION_KNVV;RS_S4H_PUB_002;S4H_TB_KNVV;S4H_VW_KNVV_R;
ZS4_VCI_KONA;RS_S4H_PUB_002;S4H_TB_KONA;S4H_VW_KONA_R;
ZS4_VCI_KOND;RS_S4H_PUB_002;S4H_TB_KOND;S4H_VW_KOND_R;
ZS4_VCI_KONH;RS_S4H_PUB_002;S4H_TB_KONH;S4H_VW_KONH_R;
ZS4_VCI_KONP;RS_S4H_PUB_002;S4H_TB_KONP;S4H_VW_KONP_R;
ZS4_VCI_KONV;RS_S4H_PUB_002;S4H_TB_KONV;S4H_VW_KONV_R;
ZS4_VCI_KOTE507;RS_S4H_PUB_002;S4H_TB_KOTE507;S4H_VW_KOTE507_R;
ZS4_VCI_KOTE508;RS_S4H_PUB_002;S4H_TB_KOTE508;S4H_VW_KOTE508_R;
ZS4_VCI_KOTE509;RS_S4H_PUB_002;S4H_TB_KOTE509;S4H_VW_KOTE509_R;
VC_INTEGRATION_KSML;RS_S4H_PUB_002;S4H_TB_KSML;S4H_VW_KSML_R;
VC_INTEGRATION_KSSK;RS_S4H_PUB_002;S4H_TB_KSSK;S4H_VW_KSSK_R;
ZS4_VCI_LAGP;RS_S4H_PUB_002;S4H_TB_LAGP;S4H_VW_LAGP_R;
ZS4_VCI_LFA1;RS_S4H_PUB_002;S4H_TB_LFA1;S4H_VW_LFA1_R;
ZS4_VCI_LFB1;RS_S4H_PUB_002;S4H_TB_LFB1;S4H_VW_LFB1_R;
ZS4_VCI_LFBK;RS_S4H_PUB_002;S4H_TB_LFBK;S4H_VW_LFBK_R;
ZS4_VCI_LFBW;RS_S4H_PUB_002;S4H_TB_LFBW;S4H_VW_LFBW_R;
ZS4_VCI_LFM1;RS_S4H_PUB_002;S4H_TB_LFM1;S4H_VW_LFM1_R;
ZS4_VCI_LIKP;RS_S4H_PUB_002;S4H_TB_LIKP;S4H_VW_LIKP_R;
ZS4_VCI_LINK;RS_S4H_PUB_002;S4H_TB_LINK;S4H_VW_LINK_R;
ZS4_VCI_LINP;RS_S4H_PUB_002;S4H_TB_LINP;S4H_VW_LINP_R;
ZS4_VCI_LINV;RS_S4H_PUB_002;S4H_TB_LINV;S4H_VW_LINV_R;
ZS4_VCI_LIPS;RS_S4H_PUB_002;S4H_TB_LIPS;S4H_VW_LIPS_R;
ZS4_VCI_LQUA;RS_S4H_PUB_002;S4H_TB_LQUA;S4H_VW_LQUA_R;
ZS4_VCI_LTAK;RS_S4H_PUB_002;S4H_TB_LTAK;S4H_VW_LTAK_R;
ZS4_VCI_LTAP;RS_S4H_PUB_002;S4H_TB_LTAP;S4H_VW_LTAP_R;
ZS4_VCI_LTBK;RS_S4H_PUB_002;S4H_TB_LTBK;S4H_VW_LTBK_R;
ZS4_VCI_LTBP;RS_S4H_PUB_002;S4H_TB_LTBP;S4H_VW_LTBP_R;
ZS4_VCI_LUBU;RS_S4H_PUB_002;S4H_TB_LUBU;S4H_VW_LUBU_R;
VC_INTEGRATION_MAKT;RS_S4H_PUB_002;S4H_TB_MAKT;S4H_VW_MAKT_R;
VC_INTEGRATION_MARA;RS_S4H_PUB_002;S4H_TB_MARA;S4H_VW_MARA_R;
VC_INTEGRATION_MARC;RS_S4H_PUB_002;S4H_TB_MARC;S4H_VW_MARC_R;
ZS4_VCI_MARD;RS_S4H_PUB_002;S4H_TB_MARD;S4H_VW_MARD_R;
ZS4_VCI_MARDH;RS_S4H_PUB_002;S4H_TB_MARDH;S4H_VW_MARDH_R;
ZS4_VCI_MARM;RS_S4H_PUB_002;S4H_TB_MARM;S4H_VW_MARM_R;
ZS4_VCI_MAST;RS_S4H_PUB_002;S4H_TB_MAST;S4H_VW_MAST_R;
ZS4_VCI_MBEW;RS_S4H_PUB_002;S4H_TB_MBEW;S4H_VW_MBEW_R;
ZS4_VCI_MBEWH;RS_S4H_PUB_002;S4H_TB_MBEWH;S4H_VW_MBEWH_R;
ZS4_VCI_MCH1;RS_S4H_PUB_002;S4H_TB_MCH1;S4H_VW_MCH1_R;
ZS4_VCI_MCHA;RS_S4H_PUB_002;S4H_TB_MCHA;S4H_VW_MCHA_R;
ZS4_VCI_MCHB;RS_S4H_PUB_002;S4H_TB_MCHB;S4H_VW_MCHB_R;
ZS4_VCI_MCHBH;RS_S4H_PUB_002;S4H_TB_MCHBH;S4H_VW_MCHBH_R;
ZS4_VCI_MDOBLREL;RS_S4H_PUB_002;S4H_TB_MDOBLREL;S4H_VW_MDOBLREL_R;
ZS4_VCI_MHIO;RS_S4H_PUB_002;S4H_TB_MHIO;S4H_VW_MHIO_R;
ZS4_VCI_MHIS;RS_S4H_PUB_002;S4H_TB_MHIS;S4H_VW_MHIS_R;
ZS4_VCI_MKAL;RS_S4H_PUB_002;S4H_TB_MKAL;S4H_VW_MKAL_R;
ZS4_VCI_MKOL;RS_S4H_PUB_002;S4H_TB_MKOL;S4H_VW_MKOL_R;
ZS4_VCI_MKPF;RS_S4H_PUB_002;S4H_TB_MKPF;S4H_VW_MKPF_R;
ZS4_VCI_MLAN;RS_S4H_PUB_002;S4H_TB_MLAN;S4H_VW_MLAN_R;
ZS4_VCI_MLAUF;RS_S4H_PUB_002;S4H_TB_MLAUF;S4H_VW_MLAUF_R;
ZS4_VCI_MLCD;RS_S4H_PUB_002;S4H_TB_MLCD;S4H_VW_MLCD_R;
ZS4_VCI_MLCR;RS_S4H_PUB_002;S4H_TB_MLCR;S4H_VW_MLCR_R;
ZS4_VCI_MLGN;RS_S4H_PUB_002;S4H_TB_MLGN;S4H_VW_MLGN_R;
ZS4_VCI_MLGT;RS_S4H_PUB_002;S4H_TB_MLGT;S4H_VW_MLGT_R;
ZS4_VCI_MLHD;RS_S4H_PUB_002;S4H_TB_MLHD;S4H_VW_MLHD_R;
ZS4_VCI_MLIT;RS_S4H_PUB_002;S4H_TB_MLIT;S4H_VW_MLIT_R;
ZS4_VCI_MLPP;RS_S4H_PUB_002;S4H_TB_MLPP;S4H_VW_MLPP_R;
ZS4_VCI_MMPT;RS_S4H_PUB_002;S4H_TB_MMPT;S4H_VW_MMPT_R;
ZS4_VCI_MPLA;RS_S4H_PUB_002;S4H_TB_MPLA;S4H_VW_MPLA_R;
ZS4_VCI_MPOS;RS_S4H_PUB_002;S4H_TB_MPOS;S4H_VW_MPOS_R;
ZS4_VCI_MSEG;RS_S4H_PUB_002;S4H_TB_MSEG;S4H_VW_MSEG_R;
ZS4_VCI_MSKA;RS_S4H_PUB_002;S4H_TB_MSKA;S4H_VW_MSKA_R;
ZS4_VCI_MSKU;RS_S4H_PUB_002;S4H_TB_MSKU;S4H_VW_MSKU_R;
ZS4_VCI_MSLB;RS_S4H_PUB_002;S4H_TB_MSLB;S4H_VW_MSLB_R;
ZS4_VCI_MSPR;RS_S4H_PUB_002;S4H_TB_MSPR;S4H_VW_MSPR_R;
ZS4_VCI_MSRD;RS_S4H_PUB_002;S4H_TB_MSRD;S4H_VW_MSRD_R;
ZS4_VCI_MSSA;RS_S4H_PUB_002;S4H_TB_MSSA;S4H_VW_MSSA_R;
ZS4_VCI_MSSL;RS_S4H_PUB_002;S4H_TB_MSSL;S4H_VW_MSSL_R;
