CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_ZOVTMM_AIW5;RS_S4H_PUB_004;S4H_TB_ZOVTMM_AIW5;S4H_VW_ZOVTMM_AIW5_R;
ZS4_VCI_ZOVTMM_AIW6;RS_S4H_PUB_004;S4H_TB_ZOVTMM_AIW6;S4H_VW_ZOVTMM_AIW6_R;
ZS4_VCI_ZOVTMM_ANOM_CD;RS_S4H_PUB_004;S4H_TB_ZOVTMM_ANOM_CD;S4H_VW_ZOVTMM_ANOM_CD_R;
ZS4_VCI_ZOVTMM_APPR_L0;RS_S4H_PUB_004;S4H_TB_ZOVTMM_APPR_L0;S4H_VW_ZOVTMM_APPR_L0_R;
ZS4_VCI_ZOVTMM_CUST_DECL;RS_S4H_PUB_004;S4H_TB_ZOVTMM_CUST_DECL;S4H_VW_ZOVTMM_CUST_DECL_R;
ZS4_VCI_ZOVTMM_DRAFT_SUR;RS_S4H_PUB_004;S4H_TB_ZOVTMM_DRAFT_SUR;S4H_VW_ZOVTMM_DRAFT_SUR_R;
ZS4_VCI_ZOVTMM_FRSPARC;RS_S4H_PUB_004;S4H_TB_ZOVTMM_FRSPARC;S4H_VW_ZOVTMM_FRSPARC_R;
ZS4_VCI_ZOVTMM_FRSTOTAL;RS_S4H_PUB_004;S4H_TB_ZOVTMM_FRSTOTAL;S4H_VW_ZOVTMM_FRSTOTAL_R;
ZS4_VCI_ZOVTMM_GROUP_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTMM_GROUP_LOG;S4H_VW_ZOVTMM_GROUP_LOG_R;
ZS4_VCI_ZOVTMM_IAMUSER;RS_S4H_PUB_004;S4H_TB_ZOVTMM_IAMUSER;S4H_VW_ZOVTMM_IAMUSER_R;
ZS4_VCI_ZOVTMM_IAMUSER_H;RS_S4H_PUB_004;S4H_TB_ZOVTMM_IAMUSER_H;S4H_VW_ZOVTMM_IAMUSER_H_R;
ZS4_VCI_ZOVTMM_INV_BLEND;RS_S4H_PUB_004;S4H_TB_ZOVTMM_INV_BLEND;S4H_VW_ZOVTMM_INV_BLEND_R;
ZS4_VCI_ZOVTMM_INV_DISCH;RS_S4H_PUB_004;S4H_TB_ZOVTMM_INV_DISCH;S4H_VW_ZOVTMM_INV_DISCH_R;
ZS4_VCI_ZOVTMM_MATE_SPED;RS_S4H_PUB_004;S4H_TB_ZOVTMM_MATE_SPED;S4H_VW_ZOVTMM_MATE_SPED_R;
ZS4_VCI_ZOVTMM_ORDER_E;RS_S4H_PUB_004;S4H_TB_ZOVTMM_ORDER_E;S4H_VW_ZOVTMM_ORDER_E_R;
ZS4_VCI_ZOVTMM_RSV_REPOS;RS_S4H_PUB_004;S4H_TB_ZOVTMM_RSV_REPOS;S4H_VW_ZOVTMM_RSV_REPOS_R;
ZS4_VCI_ZOVTMM_SCDGRC;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SCDGRC;S4H_VW_ZOVTMM_SCDGRC_R;
ZS4_VCI_ZOVTMM_SCDLOG;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SCDLOG;S4H_VW_ZOVTMM_SCDLOG_R;
ZS4_VCI_ZOVTMM_SCDPARAM;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SCDPARAM;S4H_VW_ZOVTMM_SCDPARAM_R;
ZS4_VCI_ZOVTMM_SCDPARAM2;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SCDPARAM2;S4H_VW_ZOVTMM_SCDPARAM2_R;
ZS4_VCI_ZOVTMM_STOR_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTMM_STOR_LOG;S4H_VW_ZOVTMM_STOR_LOG_R;
