CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_ZOVTMM_SYLG_GDRT;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SYLG_GDRT;S4H_VW_ZOVTMM_SYLG_GDRT_R;
ZS4_VCI_ZOVTMM_SYLG_GRGB;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SYLG_GRGB;S4H_VW_ZOVTMM_SYLG_GRGB_R;
ZS4_VCI_ZOVTMM_SYLG_PREP;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SYLG_PREP;S4H_VW_ZOVTMM_SYLG_PREP_R;
ZS4_VCI_ZOVTMM_SYLG_SEPR;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SYLG_SEPR;S4H_VW_ZOVTMM_SYLG_SEPR_R;
ZS4_VCI_ZOVTMM_SYLG_SHIP;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SYLG_SHIP;S4H_VW_ZOVTMM_SYLG_SHIP_R;
ZS4_VCI_ZOVTMM_SYLG_STOR;RS_S4H_PUB_004;S4H_TB_ZOVTMM_SYLG_STOR;S4H_VW_ZOVTMM_SYLG_STOR_R;
ZS4_VCI_ZOVTMM_TAXFREIGH;RS_S4H_PUB_004;S4H_TB_ZOVTMM_TAXFREIGH;S4H_VW_ZOVTMM_TAXFREIGH_R;
ZS4_VCI_ZOVTMM_TRAC_MDFE;RS_S4H_PUB_004;S4H_TB_ZOVTMM_TRAC_MDFE;S4H_VW_ZOVTMM_TRAC_MDFE_R;
ZS4_VCI_ZOVTMM_TRACKNUM;RS_S4H_PUB_004;S4H_TB_ZOVTMM_TRACKNUM;S4H_VW_ZOVTMM_TRACKNUM_R;
ZS4_VCI_ZOVTMM_UNLOAD_PT;RS_S4H_PUB_004;S4H_TB_ZOVTMM_UNLOAD_PT;S4H_VW_ZOVTMM_UNLOAD_PT_R;
ZS4_VCI_ZOVTMM_WF_FRS;RS_S4H_PUB_004;S4H_TB_ZOVTMM_WF_FRS;S4H_VW_ZOVTMM_WF_FRS_R;
ZS4_VCI_ZOVTMM3RD;RS_S4H_PUB_004;S4H_TB_ZOVTMM3RD;S4H_VW_ZOVTMM3RD_R;
ZS4_VCI_ZOVTMM3RD_MODF;RS_S4H_PUB_004;S4H_TB_ZOVTMM3RD_MODF;S4H_VW_ZOVTMM3RD_MODF_R;
ZS4_VCI_ZOVTMM3RDCFG_MSG;RS_S4H_PUB_004;S4H_TB_ZOVTMM3RDCFG_MSG;S4H_VW_ZOVTMM3RDCFG_MSG_R;
ZS4_VCI_ZOVTMM3RDCFG_OTH;RS_S4H_PUB_004;S4H_TB_ZOVTMM3RDCFG_OTH;S4H_VW_ZOVTMM3RDCFG_OTH_R;
ZS4_VCI_ZOVTMMBAIXA;RS_S4H_PUB_004;S4H_TB_ZOVTMMBAIXA;S4H_VW_ZOVTMMBAIXA_R;
ZS4_VCI_ZOVTMMEKKO217;RS_S4H_PUB_004;S4H_TB_ZOVTMMEKKO217;S4H_VW_ZOVTMMEKKO217_R;
ZS4_VCI_ZOVTMMEKPO217;RS_S4H_PUB_004;S4H_TB_ZOVTMMEKPO217;S4H_VW_ZOVTMMEKPO217_R;
ZS4_VCI_ZOVTMMEMB_DOCS;RS_S4H_PUB_004;S4H_TB_ZOVTMMEMB_DOCS;S4H_VW_ZOVTMMEMB_DOCS_R;
ZS4_VCI_ZOVTMMEMBALAGEM;RS_S4H_PUB_004;S4H_TB_ZOVTMMEMBALAGEM;S4H_VW_ZOVTMMEMBALAGEM_R;
ZS4_VCI_ZOVTMMINTEG_PROC;RS_S4H_PUB_004;S4H_TB_ZOVTMMINTEG_PROC;S4H_VW_ZOVTMMINTEG_PROC_R;
ZS4_VCI_ZOVTMMKB_LOG_ENV;RS_S4H_PUB_004;S4H_TB_ZOVTMMKB_LOG_ENV;S4H_VW_ZOVTMMKB_LOG_ENV_R;
ZS4_VCI_ZOVTMMKB_LOG_PR;RS_S4H_PUB_004;S4H_TB_ZOVTMMKB_LOG_PR;S4H_VW_ZOVTMMKB_LOG_PR_R;
ZS4_VCI_ZOVTMMRAD_PODATA;RS_S4H_PUB_004;S4H_TB_ZOVTMMRAD_PODATA;S4H_VW_ZOVTMMRAD_PODATA_R;
ZS4_VCI_ZOVTMMSLCOLETA;RS_S4H_PUB_004;S4H_TB_ZOVTMMSLCOLETA;S4H_VW_ZOVTMMSLCOLETA_R;
ZS4_VCI_ZOVTMMSTATUSVSP;RS_S4H_PUB_004;S4H_TB_ZOVTMMSTATUSVSP;S4H_VW_ZOVTMMSTATUSVSP_R;
ZS4_VCI_ZOVTMMTRANSP;RS_S4H_PUB_004;S4H_TB_ZOVTMMTRANSP;S4H_VW_ZOVTMMTRANSP_R;
ZS4_VCI_ZOVTMMTRANSPDUF;RS_S4H_PUB_004;S4H_TB_ZOVTMMTRANSPDUF;S4H_VW_ZOVTMMTRANSPDUF_R;
ZS4_VCI_ZOVTMMTRANSPFIL;RS_S4H_PUB_004;S4H_TB_ZOVTMMTRANSPFIL;S4H_VW_ZOVTMMTRANSPFIL_R;
ZS4_VCI_ZOVTMMTRANSPUF;RS_S4H_PUB_004;S4H_TB_ZOVTMMTRANSPUF;S4H_VW_ZOVTMMTRANSPUF_R;
ZS4_VCI_ZOVTMMTRIPNUMBER;RS_S4H_PUB_004;S4H_TB_ZOVTMMTRIPNUMBER;S4H_VW_ZOVTMMTRIPNUMBER_R;
ZS4_VCI_ZOVTPM_APONT_HD;RS_S4H_PUB_004;S4H_TB_ZOVTPM_APONT_HD;S4H_VW_ZOVTPM_APONT_HD_R;
ZS4_VCI_ZOVTPM_APONT_ITM;RS_S4H_PUB_004;S4H_TB_ZOVTPM_APONT_ITM;S4H_VW_ZOVTPM_APONT_ITM_R;
ZS4_VCI_ZOVTPM_APONT_USR;RS_S4H_PUB_004;S4H_TB_ZOVTPM_APONT_USR;S4H_VW_ZOVTPM_APONT_USR_R;
ZS4_VCI_ZOVTPM_BAS_CAPAC;RS_S4H_PUB_004;S4H_TB_ZOVTPM_BAS_CAPAC;S4H_VW_ZOVTPM_BAS_CAPAC_R;
ZS4_VCI_ZOVTPM_BLRET;RS_S4H_PUB_004;S4H_TB_ZOVTPM_BLRET;S4H_VW_ZOVTPM_BLRET_R;
ZS4_VCI_ZOVTPM_CHECKLIST;RS_S4H_PUB_004;S4H_TB_ZOVTPM_CHECKLIST;S4H_VW_ZOVTPM_CHECKLIST_R;
ZS4_VCI_ZOVTPM_CNF;RS_S4H_PUB_004;S4H_TB_ZOVTPM_CNF;S4H_VW_ZOVTPM_CNF_R;
ZS4_VCI_ZOVTPM_CRIT_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_CRIT_LOG;S4H_VW_ZOVTPM_CRIT_LOG_R;
ZS4_VCI_ZOVTPM_CT_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_CT_LOG;S4H_VW_ZOVTPM_CT_LOG_R;
ZS4_VCI_ZOVTPM_DEL_EQUIP;RS_S4H_PUB_004;S4H_TB_ZOVTPM_DEL_EQUIP;S4H_VW_ZOVTPM_DEL_EQUIP_R;
ZS4_VCI_ZOVTPM_DEL_IFLOC;RS_S4H_PUB_004;S4H_TB_ZOVTPM_DEL_IFLOC;S4H_VW_ZOVTPM_DEL_IFLOC_R;
ZS4_VCI_ZOVTPM_EQUI_RISK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_EQUI_RISK;S4H_VW_ZOVTPM_EQUI_RISK_R;
ZS4_VCI_ZOVTPM_EQUI_WF;RS_S4H_PUB_004;S4H_TB_ZOVTPM_EQUI_WF;S4H_VW_ZOVTPM_EQUI_WF_R;
ZS4_VCI_ZOVTPM_GER_LOC;RS_S4H_PUB_004;S4H_TB_ZOVTPM_GER_LOC;S4H_VW_ZOVTPM_GER_LOC_R;
ZS4_VCI_ZOVTPM_GERA_OM;RS_S4H_PUB_004;S4H_TB_ZOVTPM_GERA_OM;S4H_VW_ZOVTPM_GERA_OM_R;
ZS4_VCI_ZOVTPM_HIER_META;RS_S4H_PUB_004;S4H_TB_ZOVTPM_HIER_META;S4H_VW_ZOVTPM_HIER_META_R;
ZS4_VCI_ZOVTPM_HIER_NAME;RS_S4H_PUB_004;S4H_TB_ZOVTPM_HIER_NAME;S4H_VW_ZOVTPM_HIER_NAME_R;
ZS4_VCI_ZOVTPM_HIER_TREE;RS_S4H_PUB_004;S4H_TB_ZOVTPM_HIER_TREE;S4H_VW_ZOVTPM_HIER_TREE_R;
ZS4_VCI_ZOVTPM_ICP_CALC;RS_S4H_PUB_004;S4H_TB_ZOVTPM_ICP_CALC;S4H_VW_ZOVTPM_ICP_CALC_R;
ZS4_VCI_ZOVTPM_ICP_CALCL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_ICP_CALCL;S4H_VW_ZOVTPM_ICP_CALCL_R;
ZS4_VCI_ZOVTPM_IFLO_RISK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_IFLO_RISK;S4H_VW_ZOVTPM_IFLO_RISK_R;
ZS4_VCI_ZOVTPM_IMPOS_STA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_IMPOS_STA;S4H_VW_ZOVTPM_IMPOS_STA_R;
ZS4_VCI_ZOVTPM_JUST_CON;RS_S4H_PUB_004;S4H_TB_ZOVTPM_JUST_CON;S4H_VW_ZOVTPM_JUST_CON_R;
ZS4_VCI_ZOVTPM_JUST_CONL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_JUST_CONL;S4H_VW_ZOVTPM_JUST_CONL_R;
ZS4_VCI_ZOVTPM_JUSTIFY;RS_S4H_PUB_004;S4H_TB_ZOVTPM_JUSTIFY;S4H_VW_ZOVTPM_JUSTIFY_R;
ZS4_VCI_ZOVTPM_JUSTNT;RS_S4H_PUB_004;S4H_TB_ZOVTPM_JUSTNT;S4H_VW_ZOVTPM_JUSTNT_R;
ZS4_VCI_ZOVTPM_JUSTPM;RS_S4H_PUB_004;S4H_TB_ZOVTPM_JUSTPM;S4H_VW_ZOVTPM_JUSTPM_R;
ZS4_VCI_ZOVTPM_LOG_ATCR;RS_S4H_PUB_004;S4H_TB_ZOVTPM_LOG_ATCR;S4H_VW_ZOVTPM_LOG_ATCR_R;
ZS4_VCI_ZOVTPM_LOG_ATCRE;RS_S4H_PUB_004;S4H_TB_ZOVTPM_LOG_ATCRE;S4H_VW_ZOVTPM_LOG_ATCRE_R;
ZS4_VCI_ZOVTPM_LOG_JUST;RS_S4H_PUB_004;S4H_TB_ZOVTPM_LOG_JUST;S4H_VW_ZOVTPM_LOG_JUST_R;
ZS4_VCI_ZOVTPM_LOG_NOTIF;RS_S4H_PUB_004;S4H_TB_ZOVTPM_LOG_NOTIF;S4H_VW_ZOVTPM_LOG_NOTIF_R;
ZS4_VCI_ZOVTPM_MAIN_RISK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_MAIN_RISK;S4H_VW_ZOVTPM_MAIN_RISK_R;
ZS4_VCI_ZOVTPM_MEASR_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_MEASR_LOG;S4H_VW_ZOVTPM_MEASR_LOG_R;
ZS4_VCI_ZOVTPM_MO_N_GEN;RS_S4H_PUB_004;S4H_TB_ZOVTPM_MO_N_GEN;S4H_VW_ZOVTPM_MO_N_GEN_R;
ZS4_VCI_ZOVTPM_NIV_TOL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_NIV_TOL;S4H_VW_ZOVTPM_NIV_TOL_R;
ZS4_VCI_ZOVTPM_OM_ALLO;RS_S4H_PUB_004;S4H_TB_ZOVTPM_OM_ALLO;S4H_VW_ZOVTPM_OM_ALLO_R;
ZS4_VCI_ZOVTPM_OM_ALLOL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_OM_ALLOL;S4H_VW_ZOVTPM_OM_ALLOL_R;
ZS4_VCI_ZOVTPM_OM_ORD;RS_S4H_PUB_004;S4H_TB_ZOVTPM_OM_ORD;S4H_VW_ZOVTPM_OM_ORD_R;
ZS4_VCI_ZOVTPM_OM_ORDL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_OM_ORDL;S4H_VW_ZOVTPM_OM_ORDL_R;
ZS4_VCI_ZOVTPM_ORD_DOCME;RS_S4H_PUB_004;S4H_TB_ZOVTPM_ORD_DOCME;S4H_VW_ZOVTPM_ORD_DOCME_R;
ZS4_VCI_ZOVTPM_ORD_NOTIF;RS_S4H_PUB_004;S4H_TB_ZOVTPM_ORD_NOTIF;S4H_VW_ZOVTPM_ORD_NOTIF_R;
ZS4_VCI_ZOVTPM_PLANT_WRK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PLANT_WRK;S4H_VW_ZOVTPM_PLANT_WRK_R;
ZS4_VCI_ZOVTPM_PM268_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PM268_LOG;S4H_VW_ZOVTPM_PM268_LOG_R;
ZS4_VCI_ZOVTPM_PROFILE;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PROFILE;S4H_VW_ZOVTPM_PROFILE_R;
ZS4_VCI_ZOVTPM_PTS_ART;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_ART;S4H_VW_ZOVTPM_PTS_ART_R;
ZS4_VCI_ZOVTPM_PTS_CT_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_CT_NA;S4H_VW_ZOVTPM_PTS_CT_NA_R;
ZS4_VCI_ZOVTPM_PTS_CTRL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_CTRL;S4H_VW_ZOVTPM_PTS_CTRL_R;
ZS4_VCI_ZOVTPM_PTS_DE_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_DE_NA;S4H_VW_ZOVTPM_PTS_DE_NA_R;
ZS4_VCI_ZOVTPM_PTS_DESCT;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_DESCT;S4H_VW_ZOVTPM_PTS_DESCT_R;
ZS4_VCI_ZOVTPM_PTS_LI_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_LI_NA;S4H_VW_ZOVTPM_PTS_LI_NA_R;
ZS4_VCI_ZOVTPM_PTS_LIST;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_LIST;S4H_VW_ZOVTPM_PTS_LIST_R;
ZS4_VCI_ZOVTPM_PTS_PRO;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_PRO;S4H_VW_ZOVTPM_PTS_PRO_R;
ZS4_VCI_ZOVTPM_PTS_RE_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_RE_NA;S4H_VW_ZOVTPM_PTS_RE_NA_R;
ZS4_VCI_ZOVTPM_PTS_REL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_REL;S4H_VW_ZOVTPM_PTS_REL_R;
ZS4_VCI_ZOVTPM_PTS_REL_T;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_REL_T;S4H_VW_ZOVTPM_PTS_REL_T_R;
ZS4_VCI_ZOVTPM_PTS_RT_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_RT_NA;S4H_VW_ZOVTPM_PTS_RT_NA_R;
ZS4_VCI_ZOVTPM_PTS_TS_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_TS_NA;S4H_VW_ZOVTPM_PTS_TS_NA_R;
ZS4_VCI_ZOVTPM_PTS_TSK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_PTS_TSK;S4H_VW_ZOVTPM_PTS_TSK_R;
ZS4_VCI_ZOVTPM_RAIL_CNTR;RS_S4H_PUB_004;S4H_TB_ZOVTPM_RAIL_CNTR;S4H_VW_ZOVTPM_RAIL_CNTR_R;
ZS4_VCI_ZOVTPM_RES_CNTR;RS_S4H_PUB_004;S4H_TB_ZOVTPM_RES_CNTR;S4H_VW_ZOVTPM_RES_CNTR_R;
ZS4_VCI_ZOVTPM_RESP_RISK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_RESP_RISK;S4H_VW_ZOVTPM_RESP_RISK_R;
ZS4_VCI_ZOVTPM_RISK_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_RISK_LOG;S4H_VW_ZOVTPM_RISK_LOG_R;
ZS4_VCI_ZOVTPM_STAT_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_STAT_LOG;S4H_VW_ZOVTPM_STAT_LOG_R;
ZS4_VCI_ZOVTPM_TSK_ART;RS_S4H_PUB_004;S4H_TB_ZOVTPM_TSK_ART;S4H_VW_ZOVTPM_TSK_ART_R;
ZS4_VCI_ZOVTPM_TSK_PRO;RS_S4H_PUB_004;S4H_TB_ZOVTPM_TSK_PRO;S4H_VW_ZOVTPM_TSK_PRO_R;
ZS4_VCI_ZOVTPM_UNLOCK_EQ;RS_S4H_PUB_004;S4H_TB_ZOVTPM_UNLOCK_EQ;S4H_VW_ZOVTPM_UNLOCK_EQ_R;
ZS4_VCI_ZOVTPM_UNLOCK_FL;RS_S4H_PUB_004;S4H_TB_ZOVTPM_UNLOCK_FL;S4H_VW_ZOVTPM_UNLOCK_FL_R;
ZS4_VCI_ZOVTPM_UNLOCK_MP;RS_S4H_PUB_004;S4H_TB_ZOVTPM_UNLOCK_MP;S4H_VW_ZOVTPM_UNLOCK_MP_R;
ZS4_VCI_ZOVTPM_UNLOCK_QM;RS_S4H_PUB_004;S4H_TB_ZOVTPM_UNLOCK_QM;S4H_VW_ZOVTPM_UNLOCK_QM_R;
ZS4_VCI_ZOVTPM_UNLOCK_WK;RS_S4H_PUB_004;S4H_TB_ZOVTPM_UNLOCK_WK;S4H_VW_ZOVTPM_UNLOCK_WK_R;
ZS4_VCI_ZOVTPM_WERK_E_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WERK_E_NA;S4H_VW_ZOVTPM_WERK_E_NA_R;
ZS4_VCI_ZOVTPM_WERK_EMIT;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WERK_EMIT;S4H_VW_ZOVTPM_WERK_EMIT_R;
ZS4_VCI_ZOVTPM_WF_COPY;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WF_COPY;S4H_VW_ZOVTPM_WF_COPY_R;
ZS4_VCI_ZOVTPM_WF_LOG;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WF_LOG;S4H_VW_ZOVTPM_WF_LOG_R;
ZS4_VCI_ZOVTPM_WF_OR_CON;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WF_OR_CON;S4H_VW_ZOVTPM_WF_OR_CON_R;
ZS4_VCI_ZOVTPM_WF_OR_GER;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WF_OR_GER;S4H_VW_ZOVTPM_WF_OR_GER_R;
ZS4_VCI_ZOVTPM_WF_OR_SYS;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WF_OR_SYS;S4H_VW_ZOVTPM_WF_OR_SYS_R;
ZS4_VCI_ZOVTPM_WRK_EM_NA;RS_S4H_PUB_004;S4H_TB_ZOVTPM_WRK_EM_NA;S4H_VW_ZOVTPM_WRK_EM_NA_R;
ZS4_VCI_ZOVTPM26801;RS_S4H_PUB_004;S4H_TB_ZOVTPM26801;S4H_VW_ZOVTPM26801_R;
ZS4_VCI_ZOVTPM26802;RS_S4H_PUB_004;S4H_TB_ZOVTPM26802;S4H_VW_ZOVTPM26802_R;
ZS4_VCI_ZOVTPM26803;RS_S4H_PUB_004;S4H_TB_ZOVTPM26803;S4H_VW_ZOVTPM26803_R;
ZS4_VCI_ZOVTPMBASELINE;RS_S4H_PUB_004;S4H_TB_ZOVTPMBASELINE;S4H_VW_ZOVTPMBASELINE_R;
ZS4_VCI_ZOVTPMDEVCODE;RS_S4H_PUB_004;S4H_TB_ZOVTPMDEVCODE;S4H_VW_ZOVTPMDEVCODE_R;
ZS4_VCI_ZOVTPMFAIL_CLASS;RS_S4H_PUB_004;S4H_TB_ZOVTPMFAIL_CLASS;S4H_VW_ZOVTPMFAIL_CLASS_R;
ZS4_VCI_ZOVTPMOMCHECKLST;RS_S4H_PUB_004;S4H_TB_ZOVTPMOMCHECKLST;S4H_VW_ZOVTPMOMCHECKLST_R;
ZS4_VCI_ZOVTPMOMORDFILL;RS_S4H_PUB_004;S4H_TB_ZOVTPMOMORDFILL;S4H_VW_ZOVTPMOMORDFILL_R;
ZS4_VCI_ZOVTPMTBTLOG;RS_S4H_PUB_004;S4H_TB_ZOVTPMTBTLOG;S4H_VW_ZOVTPMTBTLOG_R;
ZS4_VCI_ZOVTPMTLS;RS_S4H_PUB_004;S4H_TB_ZOVTPMTLS;S4H_VW_ZOVTPMTLS_R;
ZS4_VCI_ZOVTPMWORKCTR;RS_S4H_PUB_004;S4H_TB_ZOVTPMWORKCTR;S4H_VW_ZOVTPMWORKCTR_R;
ZS4_VCI_ZOVTPP_HIS_GRADE;RS_S4H_PUB_004;S4H_TB_ZOVTPP_HIS_GRADE;S4H_VW_ZOVTPP_HIS_GRADE_R;
ZS4_VCI_ZOVTPPINV_HIS_GR;RS_S4H_PUB_004;S4H_TB_ZOVTPPINV_HIS_GR;S4H_VW_ZOVTPPINV_HIS_GR_R;
ZS4_VCI_ZOVTPS_ANTAQTP;RS_S4H_PUB_004;S4H_TB_ZOVTPS_ANTAQTP;S4H_VW_ZOVTPS_ANTAQTP_R;
ZS4_VCI_ZOVTPS_ANTT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_ANTT;S4H_VW_ZOVTPS_ANTT_R;
ZS4_VCI_ZOVTPS_ANTTT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_ANTTT;S4H_VW_ZOVTPS_ANTTT_R;
ZS4_VCI_ZOVTPS_APORT_CON;RS_S4H_PUB_004;S4H_TB_ZOVTPS_APORT_CON;S4H_VW_ZOVTPS_APORT_CON_R;
ZS4_VCI_ZOVTPS_APORT_COT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_APORT_COT;S4H_VW_ZOVTPS_APORT_COT_R;
ZS4_VCI_ZOVTPS_APORT_OB;RS_S4H_PUB_004;S4H_TB_ZOVTPS_APORT_OB;S4H_VW_ZOVTPS_APORT_OB_R;
ZS4_VCI_ZOVTPS_APORT_OBT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_APORT_OBT;S4H_VW_ZOVTPS_APORT_OBT_R;
ZS4_VCI_ZOVTPS_APORTTYPE;RS_S4H_PUB_004;S4H_TB_ZOVTPS_APORTTYPE;S4H_VW_ZOVTPS_APORTTYPE_R;
ZS4_VCI_ZOVTPS_APORTTYPT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_APORTTYPT;S4H_VW_ZOVTPS_APORTTYPT_R;
ZS4_VCI_ZOVTPS_D17;RS_S4H_PUB_004;S4H_TB_ZOVTPS_D17;S4H_VW_ZOVTPS_D17_R;
ZS4_VCI_ZOVTPS_LIQ_PEP;RS_S4H_PUB_004;S4H_TB_ZOVTPS_LIQ_PEP;S4H_VW_ZOVTPS_LIQ_PEP_R;
ZS4_VCI_ZOVTPS_LIQ_PEPT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_LIQ_PEPT;S4H_VW_ZOVTPS_LIQ_PEPT_R;
ZS4_VCI_ZOVTPS_MACRO_PR;RS_S4H_PUB_004;S4H_TB_ZOVTPS_MACRO_PR;S4H_VW_ZOVTPS_MACRO_PR_R;
ZS4_VCI_ZOVTPS_MACRO_PRT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_MACRO_PRT;S4H_VW_ZOVTPS_MACRO_PRT_R;
ZS4_VCI_ZOVTPS_PRIORPRJT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_PRIORPRJT;S4H_VW_ZOVTPS_PRIORPRJT_R;
ZS4_VCI_ZOVTPS_PRJ_PROC;RS_S4H_PUB_004;S4H_TB_ZOVTPS_PRJ_PROC;S4H_VW_ZOVTPS_PRJ_PROC_R;
ZS4_VCI_ZOVTPS_PRJ_PROCT;RS_S4H_PUB_004;S4H_TB_ZOVTPS_PRJ_PROCT;S4H_VW_ZOVTPS_PRJ_PROCT_R;
