TABELA_S4;TABELA_DS;VIEW_DS;STATUS
BOBF_D_TXCROOT;S4H_TB_BOBF_D_TXCROOT;S4H_VW_BOBF_D_TXCROOT_R;
BOBF_D_TXCTXT;S4H_TB_BOBF_D_TXCTXT;S4H_VW_BOBF_D_TXCTXT_R;
BSET;S4H_TB_BSET;S4H_VW_BSET_R;
BSIP;S4H_TB_BSIP;S4H_VW_BSIP_R;
BUT000;S4H_TB_BUT000;S4H_VW_BUT000_R;
BUT020;S4H_TB_BUT020;S4H_VW_BUT020_R;
BUT100;S4H_TB_BUT100;S4H_VW_BUT100_R;
CABN;S4H_TB_CABN;S4H_VW_CABN_R;
CABNT;S4H_TB_CABNT;S4H_VW_CABNT_R;
CAWN;S4H_TB_CAWN;S4H_VW_CAWN_R;
CAWNT;S4H_TB_CAWNT;S4H_VW_CAWNT_R;
CEPC;S4H_TB_CEPC;S4H_VW_CEPC_R;
CEPCT;S4H_TB_CEPCT;S4H_VW_CEPCT_R;
CHVW;S4H_TB_CHVW;S4H_VW_CHVW_R;
CKMLHD;S4H_TB_CKMLHD;S4H_VW_CKMLHD_R;
CKMLKEV;S4H_TB_CKMLKEV;S4H_VW_CKMLKEV_R;
CKMLMV001;S4H_TB_CKMLMV001;S4H_VW_CKMLMV001_R;
CKMLMV002;S4H_TB_CKMLMV002;S4H_VW_CKMLMV002_R;
CKMLMV005;S4H_TB_CKMLMV005;S4H_VW_CKMLMV005_R;
CKMLMV009T;S4H_TB_CKMLMV009T;S4H_VW_CKMLMV009T_R;
CKMLPRKEPH;S4H_TB_CKMLPRKEPH;S4H_VW_CKMLPRKEPH_R;
CKMLRUNPERIOD;S4H_TB_CKMLRUNPERIOD;S4H_VW_CKMLRUNPERIOD_R;
CMFP;S4H_TB_CMFP;S4H_VW_CMFP_R;
COBK;S4H_TB_COBK;S4H_VW_COBK_R;
COBRA;S4H_TB_COBRA;S4H_VW_COBRA_R;
COEPBR;S4H_TB_COEPBR;S4H_VW_COEPBR_R;
COEPD;S4H_TB_COEPD;S4H_VW_COEPD_R;
COEPL;S4H_TB_COEPL;S4H_VW_COEPL_R;
COEPR;S4H_TB_COEPR;S4H_VW_COEPR_R;
COFP;S4H_TB_COFP;S4H_VW_COFP_R;
COOI;S4H_TB_COOI;S4H_VW_COOI_R;
COSR;S4H_TB_COSR;S4H_VW_COSR_R;
COST;S4H_TB_COST;S4H_VW_COST_R;
CPEC_TERM;S4H_TB_CPEC_TERM;S4H_VW_CPEC_TERM_R;
