TABELA_S4;TABELA_DS;VIEW_DS;STATUS
TABW;S4H_TB_TABW;S4H_VW_TABW_R;
TADIR;S4H_TB_TADIR;S4H_VW_TADIR_R;
TAPL;S4H_TB_TAPL;S4H_VW_TAPL_R;
TBO01;S4H_TB_TBO01;S4H_VW_TBO01_R;
TBP0L;S4H_TB_TBP0L;S4H_VW_TBP0L_R;
TBTCO;S4H_TB_TBTCO;S4H_VW_TBTCO_R;
TBTCP;S4H_TB_TBTCP;S4H_VW_TBTCP_R;
TC24;S4H_TB_TC24;S4H_VW_TC24_R;
TC30T;S4H_TB_TC30T;S4H_VW_TC30T_R;
TC37A;S4H_TB_TC37A;S4H_VW_TC37A_R;
TC37T;S4H_TB_TC37T;S4H_VW_TC37T_R;
TCA02;S4H_TB_TCA02;S4H_VW_TCA02_R;
TCF02;S4H_TB_TCF02;S4H_VW_TCF02_R;
TCF03;S4H_TB_TCF03;S4H_VW_TCF03_R;
TCF04;S4H_TB_TCF04;S4H_VW_TCF04_R;
TCF05;S4H_TB_TCF05;S4H_VW_TCF05_R;
TCF06;S4H_TB_TCF06;S4H_VW_TCF06_R;
TCF07;S4H_TB_TCF07;S4H_VW_TCF07_R;
TCF08;S4H_TB_TCF08;S4H_VW_TCF08_R;
TCF10;S4H_TB_TCF10;S4H_VW_TCF10_R;
TCF11;S4H_TB_TCF11;S4H_VW_TCF11_R;
TCF12;S4H_TB_TCF12;S4H_VW_TCF12_R;
TCF13;S4H_TB_TCF13;S4H_VW_TCF13_R;
TCJ04;S4H_TB_TCJ04;S4H_VW_TCJ04_R;
TCJ1;S4H_TB_TCJ1;S4H_VW_TCJ1_R;
TCJ1T;S4H_TB_TCJ1T;S4H_VW_TCJ1T_R;
TCJ41;S4H_TB_TCJ41;S4H_VW_TCJ41_R;
TCJ4T;S4H_TB_TCJ4T;S4H_VW_TCJ4T_R;
TCK07;S4H_TB_TCK07;S4H_VW_TCK07_R;
TCKH1;S4H_TB_TCKH1;S4H_VW_TCKH1_R;
TCKH2;S4H_TB_TCKH2;S4H_VW_TCKH2_R;
TCKH3;S4H_TB_TCKH3;S4H_VW_TCKH3_R;
TCKH5;S4H_TB_TCKH5;S4H_VW_TCKH5_R;
TCKH6;S4H_TB_TCKH6;S4H_VW_TCKH6_R;
TCLA;S4H_TB_TCLA;S4H_VW_TCLA_R;
TCN02;S4H_TB_TCN02;S4H_VW_TCN02_R;
TCN07;S4H_TB_TCN07;S4H_VW_TCN07_R;
TCN2T;S4H_TB_TCN2T;S4H_VW_TCN2T_R;
TCN41;S4H_TB_TCN41;S4H_VW_TCN41_R;
TCN7T;S4H_TB_TCN7T;S4H_VW_TCN7T_R;
TCURC;S4H_TB_TCURC;S4H_VW_TCURC_R;
TCURF;S4H_TB_TCURF;S4H_VW_TCURF_R;
TCURN;S4H_TB_TCURN;S4H_VW_TCURN_R;
TCURR;S4H_TB_TCURR;S4H_VW_TCURR_R;
TCURT;S4H_TB_TCURT;S4H_VW_TCURT_R;
TCURV;S4H_TB_TCURV;S4H_VW_TCURV_R;
TCURW;S4H_TB_TCURW;S4H_VW_TCURW_R;
TCURX;S4H_TB_TCURX;S4H_VW_TCURX_R;
TDWA;S4H_TB_TDWA;S4H_VW_TDWA_R;
TDWAT;S4H_TB_TDWAT;S4H_VW_TDWAT_R;
TDWS;S4H_TB_TDWS;S4H_VW_TDWS_R;
TDWST;S4H_TB_TDWST;S4H_VW_TDWST_R;
TFACD;S4H_TB_TFACD;S4H_VW_TFACD_R;
TFACS;S4H_TB_TFACS;S4H_VW_TFACS_R;
TFACT;S4H_TB_TFACT;S4H_VW_TFACT_R;
TFKBT;S4H_TB_TFKBT;S4H_VW_TFKBT_R;
TFRMT;S4H_TB_TFRMT;S4H_VW_TFRMT_R;
TGSB;S4H_TB_TGSB;S4H_VW_TGSB_R;
TGSBT;S4H_TB_TGSBT;S4H_VW_TGSBT_R;
THOC;S4H_TB_THOC;S4H_VW_THOC_R;
TIBAN;S4H_TB_TIBAN;S4H_VW_TIBAN_R;
TINC;S4H_TB_TINC;S4H_VW_TINC_R;
TINCT;S4H_TB_TINCT;S4H_VW_TINCT_R;
TJ01;S4H_TB_TJ01;S4H_VW_TJ01_R;
TJ01T;S4H_TB_TJ01T;S4H_VW_TJ01T_R;
TJ02;S4H_TB_TJ02;S4H_VW_TJ02_R;
TJ02T;S4H_TB_TJ02T;S4H_VW_TJ02T_R;
TJ03;S4H_TB_TJ03;S4H_VW_TJ03_R;
TJ03T;S4H_TB_TJ03T;S4H_VW_TJ03T_R;
TJ04;S4H_TB_TJ04;S4H_VW_TJ04_R;
TJ20;S4H_TB_TJ20;S4H_VW_TJ20_R;
TJ20T;S4H_TB_TJ20T;S4H_VW_TJ20T_R;
TJ30;S4H_TB_TJ30;S4H_VW_TJ30_R;
TJ30T;S4H_TB_TJ30T;S4H_VW_TJ30T_R;
TJ48;S4H_TB_TJ48;S4H_VW_TJ48_R;
TJ49;S4H_TB_TJ49;S4H_VW_TJ49_R;
TKA01;S4H_TB_TKA01;S4H_VW_TKA01_R;
TKA02;S4H_TB_TKA02;S4H_VW_TKA02_R;
TKA03;S4H_TB_TKA03;S4H_VW_TKA03_R;
TKB5AL;S4H_TB_TKB5AL;S4H_VW_TKB5AL_R;
TKB5E;S4H_TB_TKB5E;S4H_VW_TKB5E_R;
TKB6;S4H_TB_TKB6;S4H_VW_TKB6_R;
TKB8A;S4H_TB_TKB8A;S4H_VW_TKB8A_R;
TKEB;S4H_TB_TKEB;S4H_VW_TKEB_R;
TKEBL;S4H_TB_TKEBL;S4H_VW_TKEBL_R;
TKEL;S4H_TB_TKEL;S4H_VW_TKEL_R;
TKT03;S4H_TB_TKT03;S4H_VW_TKT03_R;
TKT05;S4H_TB_TKT05;S4H_VW_TKT05_R;
TMABCT;S4H_TB_TMABCT;S4H_VW_TMABCT_R;
TOIGET;S4H_TB_TOIGET;S4H_VW_TOIGET_R;
TPAR;S4H_TB_TPAR;S4H_VW_TPAR_R;
TPART;S4H_TB_TPART;S4H_VW_TPART_R;
TPIK3;S4H_TB_TPIK3;S4H_VW_TPIK3_R;
