CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_TSTL;RS_S4H_PUB_003;S4H_TB_TSTL;S4H_VW_TSTL_R;
ZS4_VCI_TTSEGEVTY;RS_S4H_PUB_003;S4H_TB_TTSEGEVTY;S4H_VW_TTSEGEVTY_R;
ZS4_VCI_TTXIT;RS_S4H_PUB_003;S4H_TB_TTXIT;S4H_VW_TTXIT_R;
ZS4_VCI_TVAKT;RS_S4H_PUB_003;S4H_TB_TVAKT;S4H_VW_TVAKT_R;
ZS4_VCI_TVARVC;RS_S4H_PUB_003;S4H_TB_TVARVC;S4H_VW_TVARVC_R;
ZS4_VCI_TVAST;RS_S4H_PUB_003;S4H_TB_TVAST;S4H_VW_TVAST_R;
ZS4_VCI_TVAUT;RS_S4H_PUB_003;S4H_TB_TVAUT;S4H_VW_TVAUT_R;
ZS4_VCI_TVBST;RS_S4H_PUB_003;S4H_TB_TVBST;S4H_VW_TVBST_R;
ZS4_VCI_TVBUR;RS_S4H_PUB_003;S4H_TB_TVBUR;S4H_VW_TVBUR_R;
ZS4_VCI_TVFK;RS_S4H_PUB_003;S4H_TB_TVFK;S4H_VW_TVFK_R;
ZS4_VCI_TVFKT;RS_S4H_PUB_003;S4H_TB_TVFKT;S4H_VW_TVFKT_R;
ZS4_VCI_TVFMT;RS_S4H_PUB_003;S4H_TB_TVFMT;S4H_VW_TVFMT_R;
ZS4_VCI_TVFST;RS_S4H_PUB_003;S4H_TB_TVFST;S4H_VW_TVFST_R;
ZS4_VCI_TVFT;RS_S4H_PUB_003;S4H_TB_TVFT;S4H_VW_TVFT_R;
ZS4_VCI_TVGRT;RS_S4H_PUB_003;S4H_TB_TVGRT;S4H_VW_TVGRT_R;
ZS4_VCI_TVKBT;RS_S4H_PUB_003;S4H_TB_TVKBT;S4H_VW_TVKBT_R;
ZS4_VCI_TVKBZ;RS_S4H_PUB_003;S4H_TB_TVKBZ;S4H_VW_TVKBZ_R;
ZS4_VCI_TVKD;RS_S4H_PUB_003;S4H_TB_TVKD;S4H_VW_TVKD_R;
ZS4_VCI_TVKDT;RS_S4H_PUB_003;S4H_TB_TVKDT;S4H_VW_TVKDT_R;
ZS4_VCI_TVKN;RS_S4H_PUB_003;S4H_TB_TVKN;S4H_VW_TVKN_R;
ZS4_VCI_TVKNT;RS_S4H_PUB_003;S4H_TB_TVKNT;S4H_VW_TVKNT_R;
ZS4_VCI_TVKO;RS_S4H_PUB_003;S4H_TB_TVKO;S4H_VW_TVKO_R;
ZS4_VCI_TVKOS;RS_S4H_PUB_003;S4H_TB_TVKOS;S4H_VW_TVKOS_R;
ZS4_VCI_TVKOT;RS_S4H_PUB_003;S4H_TB_TVKOT;S4H_VW_TVKOT_R;
ZS4_VCI_TVKOV;RS_S4H_PUB_003;S4H_TB_TVKOV;S4H_VW_TVKOV_R;
ZS4_VCI_TVKT;RS_S4H_PUB_003;S4H_TB_TVKT;S4H_VW_TVKT_R;
ZS4_VCI_TVKTT;RS_S4H_PUB_003;S4H_TB_TVKTT;S4H_VW_TVKTT_R;
ZS4_VCI_TVLST;RS_S4H_PUB_003;S4H_TB_TVLST;S4H_VW_TVLST_R;
ZS4_VCI_TVLVT;RS_S4H_PUB_003;S4H_TB_TVLVT;S4H_VW_TVLVT_R;
ZS4_VCI_TVROT;RS_S4H_PUB_003;S4H_TB_TVROT;S4H_VW_TVROT_R;
ZS4_VCI_TVSAKT;RS_S4H_PUB_003;S4H_TB_TVSAKT;S4H_VW_TVSAKT_R;
