CDS;STATUS
ZS4_VCI_EKEH;
ZS4_VCI_EKEK;
ZS4_VCI_EKES;
ZS4_VCI_EKETH;
ZS4_VCI_EKKI;
ZS4_VCI_EKPA;
ZS4_VCI_EKPB;
ZS4_VCI_EKPV;
ZS4_VCI_EKRS;
ZS4_VCI_EKUB;
ZS4_VCI_EORD;
ZS4_VCI_EQBS;
ZS4_VCI_EQKT;
ZS4_VCI_EQST;
ZS4_VCI_EQUK;
ZS4_VCI_EQUP;
ZS4_VCI_EQUZ;
ZS4_VCI_ESKL;
ZS4_VCI_ESLA;
ZS4_VCI_ESLB;
ZS4_VCI_ESLH;
ZS4_VCI_ESLL;
ZS4_VCI_ESLP;
ZS4_VCI_ESLT;
ZS4_VCI_ESLZ;
ZS4_VCI_ESSR;
ZS4_VCI_ESTMJ;
ZS4_VCI_ESTRI;
ZS4_VCI_ESUC;
ZS4_VCI_ESUH;
ZS4_VCI_EVPOC;
ZS4_VCI_FAGL_011PC;
ZS4_VCI_FAGL_011QT;
ZS4_VCI_FAGL_011ZC;
ZS4_VCI_FAGL_SEGM;
ZS4_VCI_FAGL_SEGMT;
ZS4_VCI_FEBEP;
ZS4_VCI_FLQGSBER_SUBST;
ZS4_VCI_FLQLPOST;
ZS4_VCI_FLQSUM;
ZS4_VCI_FLQSUM_FC;
ZS4_VCI_FM01;
ZS4_VCI_FMBDP;
ZS4_VCI_FMBH;
ZS4_VCI_FMBL;
ZS4_VCI_FMCI;
ZS4_VCI_FMCIT;
ZS4_VCI_FMFCTR;
ZS4_VCI_FMFCTRT;
ZS4_VCI_FMFINT;
ZS4_VCI_FMHISV;
ZS4_VCI_FMIA;
ZS4_VCI_FMIFIHD;
ZS4_VCI_FMIOI;
ZS4_VCI_FMIT;
ZS4_VCI_FMMEASURE;
ZS4_VCI_FMMEASURET;
ZS4_VCI_HIVG;
ZS4_VCI_HRP1000;
ZS4_VCI_HRP1001;
ZS4_VCI_HRUS_D2;
VC_INTEGRATION_IBIN;
VC_INTEGRATION_IBINVALUES;
VC_INTEGRATION_IBSYMBOL;
ZS4_VCI_IFLOS;
ZS4_VCI_IFLOT;
ZS4_VCI_IFLOTX;
ZS4_VCI_IHGNS;
ZS4_VCI_IHPA;
ZS4_VCI_IHSG;
ZS4_VCI_IKPF;
ZS4_VCI_ILOA;
ZS4_VCI_IMPTT;
ZS4_VCI_IMRG;
ZS4_VCI_ISEG;
ZS4_VCI_J_1BAAT;
ZS4_VCI_J_1BAGNT;
ZS4_VCI_J_1BAGT;
ZS4_VCI_J_1BAON;
ZS4_VCI_J_1BAPN;
ZS4_VCI_J_1BAS;
ZS4_VCI_J_1BAST;
ZS4_VCI_J_1BATL1;
ZS4_VCI_J_1BATL1T;
ZS4_VCI_J_1BATL2;
ZS4_VCI_J_1BATL2T;
ZS4_VCI_J_1BATL3;
ZS4_VCI_J_1BATL3T;
ZS4_VCI_J_1BATL4A;
ZS4_VCI_J_1BATL4T;
ZS4_VCI_J_1BATL5;
ZS4_VCI_J_1BATL5T;
ZS4_VCI_J_1BDOCTYPEST;
ZS4_VCI_J_1BNFDOC;
ZS4_VCI_J_1BNFE_ACTIVE;
ZS4_VCI_J_1BNFE_CCE;
ZS4_VCI_J_1BNFE_CUST1;
ZS4_VCI_J_1BNFE_CUST3;
ZS4_VCI_J_1BNFE_EVENT;
ZS4_VCI_J_1BNFE_HISTORY;
ZS4_VCI_J_1BNFETRACE;
ZS4_VCI_J_1BNFFTX;
ZS4_VCI_J_1BNFIMPORT_ADI;
ZS4_VCI_J_1BNFIMPORT_DI;
ZS4_VCI_J_1BNFLIN;
ZS4_VCI_J_1BNFSTX;
ZS4_VCI_J_1BSERVASSIGN1;
ZS4_VCI_J_1BSERVTYPES1T;
ZS4_VCI_J_1BSTSCODET;
ZS4_VCI_J_1BTAXSITCOF;
ZS4_VCI_J_1BTAXSITCOFT;
ZS4_VCI_J_1BTAXSITPIS;
ZS4_VCI_J_1BTAXSITPIST;
ZS4_VCI_J_1BTCENQ;
ZS4_VCI_J_1BTCENQT;
ZS4_VCI_J_1BTICMSTAXPAY;
ZS4_VCI_J_1BTICMSTAXPAYT;
ZS4_VCI_J_1BTREG_CITY;
ZS4_VCI_J_1BTXCI1;
ZS4_VCI_J_1BTXCOF;
ZS4_VCI_J_1BTXDEF;
ZS4_VCI_J_1BTXGRUOP;
ZS4_VCI_J_1BTXIC1;
ZS4_VCI_J_1BTXIC2;
ZS4_VCI_J_1BTXIC3;
ZS4_VCI_J_1BTXIP1;
ZS4_VCI_J_1BTXIP2;
ZS4_VCI_J_1BTXIP3;
ZS4_VCI_J_1BTXISS;
ZS4_VCI_J_1BTXJUR;
ZS4_VCI_J_1BTXJURT;
ZS4_VCI_J_1BTXPIS;
ZS4_VCI_J_1BTXST1;
ZS4_VCI_J_1BTXST2;
ZS4_VCI_J_1BTXST3;
ZS4_VCI_J_1BTXWITH;
ZS4_VCI_JSTO;
ZS4_VCI_KAKO;
ZS4_VCI_KAKT;
ZS4_VCI_KAPA;
ZS4_VCI_KAZY;
ZS4_VCI_KEKO;
ZS4_VCI_KEPH;
VC_INTEGRATION_KLAH;
ZS4_VCI_KLAT;
ZS4_VCI_KNB1;
ZS4_VCI_KNB4;
ZS4_VCI_KNVK;
ZS4_VCI_KOND;
ZS4_VCI_KONH;
ZS4_VCI_KOTE507;
ZS4_VCI_KOTE508;
ZS4_VCI_KOTE509;
VC_INTEGRATION_KSML;
VC_INTEGRATION_KSSK;
ZS4_VCI_LAGP;
ZS4_VCI_LFB1;
ZS4_VCI_LFBK;
ZS4_VCI_LFBW;
ZS4_VCI_LFM1;
ZS4_VCI_LINK;
ZS4_VCI_LINP;
ZS4_VCI_LINV;
ZS4_VCI_LQUA;
ZS4_VCI_LTAK;
ZS4_VCI_LTAP;
ZS4_VCI_LTBK;
ZS4_VCI_LTBP;
ZS4_VCI_LUBU;
VC_INTEGRATION_MAKT;
ZS4_VCI_MARM;
ZS4_VCI_MAST;
ZS4_VCI_MCH1;
ZS4_VCI_MDOBLREL;
ZS4_VCI_MHIO;
ZS4_VCI_MHIS;
ZS4_VCI_MKAL;
ZS4_VCI_MLAN;
ZS4_VCI_MLAUF;
ZS4_VCI_MLGN;
ZS4_VCI_MLGT;
ZS4_VCI_MLHD;
ZS4_VCI_MLPP;
ZS4_VCI_MMPT;
ZS4_VCI_MSKU;
ZS4_VCI_MSLB;
ZS4_VCI_MSSL;
ZS4_VCI_MVER;
ZS4_VCI_OIC_KONV;
ZS4_VCI_OICQ7;
ZS4_VCI_OICQ8;
ZS4_VCI_OICQ9;
ZS4_VCI_OICQCT;
ZS4_VCI_OICQP;
ZS4_VCI_OIGV;
ZS4_VCI_OIGVT;
ZS4_VCI_OIJ_EL_DOC_FLOW;
ZS4_VCI_OIJ_EL_DOC_MOT;
ZS4_VCI_OIJ_EL_LAYT_INF;
ZS4_VCI_OIJ_EL_TICKET_H;
ZS4_VCI_OIJ_EL_TICKET_I;
ZS4_VCI_OIJLOC;
ZS4_VCI_OIJNE;
ZS4_VCI_OIJNOMH;
ZS4_VCI_OIJNOMI;
ZS4_VCI_ONR00;
ZS4_VCI_ORDER_HDR;
ZS4_VCI_ORDER_MSG;
ZS4_VCI_PA0001;
ZS4_VCI_PA0002;
ZS4_VCI_PA0105;
ZS4_VCI_PA0465;
ZS4_VCI_PLAB;
ZS4_VCI_PLAF;
ZS4_VCI_PLAS;
ZS4_VCI_PLFH;
ZS4_VCI_PLKO;
ZS4_VCI_PLMK;
ZS4_VCI_PLMZ;
ZS4_VCI_PLPO;
ZS4_VCI_PLWP;
ZS4_VCI_PMCO;
ZS4_VCI_PMCO_OP;
ZS4_VCI_PMCO2;
ZS4_VCI_PMCOQT;
ZS4_VCI_PMCOQT_OP;
ZS4_VCI_PREXT;
ZS4_VCI_PROGROUP_KPIP84;
ZS4_VCI_PROGROUP_KPIP87;
ZS4_VCI_PROGROUP_KPIP88;
ZS4_VCI_PROGROUP_KPIP89;
ZS4_VCI_PROGROUP_KPIP96;
ZS4_VCI_PROGROUP_KPIP98;
